/usr/bin/cpp2html is owned by source-highlight 3.1.9-10
/usr/bin/pamtojpeg2k is owned by netpbm 10.73.43-1
/usr/bin/pamcut is owned by netpbm 10.73.43-1
/usr/bin/alsoft-config is owned by openal 1.23.1-1
/usr/bin/pamshadedrelief is owned by netpbm 10.73.43-1
/usr/bin/pk-example-frobnicate is owned by polkit 123-1
/usr/bin/qconvex is owned by qhull 2020.2-4
/usr/bin/tnameserv is owned by java-runtime-common 3-5
/usr/bin/fh2raw is owned by libfreehand 0.1.2-4
/usr/bin/iptables-nft-restore is owned by iptables-nft 1:1.8.9-1
/usr/bin/ebtables-nft-save is owned by iptables-nft 1:1.8.9-1
/usr/bin/exrstdattr is owned by openexr 3.1.10-1
/usr/bin/pnmnorm is owned by netpbm 10.73.43-1
/usr/bin/mgrtopbm is owned by netpbm 10.73.43-1
/usr/bin/vsd2raw is owned by libvisio 0.1.7-9
/usr/bin/pamtotiff is owned by netpbm 10.73.43-1
/usr/bin/tldextract is owned by python-tldextract 3.4.4-1
/usr/bin/docutils is owned by python-docutils 1:0.20.1-1
/usr/bin/sherlock265 is owned by libde265 1.0.12-1
/usr/bin/pnminterp is owned by netpbm 10.73.43-1
/usr/bin/VBox is owned by virtualbox 7.0.10-1
/usr/bin/spirv-link is owned by spirv-tools 2022.4-1
/usr/bin/vendor_perl/ is owned by ack 3.7.0-2
/usr/bin/vendor_perl/ is owned by perl 5.38.0-1
/usr/bin/vendor_perl/ is owned by perl-image-exiftool 12.60-3
/usr/bin/db_stat is owned by db 6.2.32-1
/usr/bin/pack200 is owned by java-runtime-common 3-5
/usr/bin/wpd2html is owned by libwpd 0.10.3-4
/usr/bin/pammixinterlace is owned by netpbm 10.73.43-1
/usr/bin/pamditherbw is owned by netpbm 10.73.43-1
/usr/bin/fdtput is owned by dtc 1.7.0-4
/usr/bin/pgmbentley is owned by netpbm 10.73.43-1
/usr/bin/spirv-lint is owned by spirv-tools 2022.4-1
/usr/bin/gouldtoppm is owned by netpbm 10.73.43-1
/usr/bin/ppmtoleaf is owned by netpbm 10.73.43-1
/usr/bin/decode_tm6000 is owned by v4l-utils 1.24.1-2
/usr/bin/archlinux-java is owned by java-runtime-common 3-5
/usr/bin/futurize is owned by python-future 0.18.3-1
/usr/bin/pnmpad is owned by netpbm 10.73.43-1
/usr/bin/archlinux-keyring-wkd-sync is owned by archlinux-keyring 20230704-1
/usr/bin/pbmtoplot is owned by netpbm 10.73.43-1
/usr/bin/nl-class-add is owned by libnl 3.7.0-3
/usr/bin/macptopbm is owned by netpbm 10.73.43-1
/usr/bin/spicy-stats is owned by spice-gtk 0.42-3
/usr/bin/userpath is owned by python-userpath 1.8.0-2
/usr/bin/rst2pseudoxml is owned by python-docutils 1:0.20.1-1
/usr/bin/java-service-wrapper is owned by java-service-wrapper 3.5.51-1
